entry_date,exit_date,entry_price,exit_price,underlying_return,lower_strike,upper_strike,spread_cost,payoff,pl,roi,volatility
2017-03-06,2017-03-27,1225.96,1254.3,2.311657802864686,1201.4408,1262.7388,26.233786421590402,52.85919999999987,26.62541357840947,101.49283504304496,0.08621564552640214
2017-04-04,2017-04-25,1256.22,1263.76,0.6002133384279684,1231.0956,1293.9066,27.0385883248818,32.66439999999989,5.625811675118086,20.80660279864178,0.0933870157005703
2017-05-03,2017-05-24,1238.38,1258.55,1.6287407742372917,1213.6124,1275.5314,26.97190076842864,44.937599999999975,17.965699231571335,66.60894753328132,0.1088708021593586
2017-06-01,2017-06-22,1265.64,1250.62,-1.1867513668973984,1240.3272000000002,1303.6092,27.441117058959023,10.292799999999716,-17.148317058959307,-62.4913228645723,0.10274351065103675
2017-06-30,2017-07-21,1241.6,1254.9,1.0711984536082575,1216.7679999999998,1278.848,26.503641155447234,38.13200000000029,11.628358844553055,43.87457095555757,0.0832476511164451
2017-07-31,2017-08-21,1269.55,1291.22,1.7069040211098452,1244.1589999999999,1307.6365,27.006275832877748,47.06100000000015,20.0547241671224,74.25949542701312,0.07901974477206533
2017-08-29,2017-09-19,1309.5,1311.28,0.13592974417715453,1283.31,1348.785,28.357682371916752,27.970000000000027,-0.38768237191672483,-1.3671158553516185,0.10115132101147573
2017-09-27,2017-10-18,1281.12,1281.17,0.0039028350193648365,1255.4976,1319.5536,28.25672678493075,25.672400000000152,-2.584326784930596,-9.145881632365189,0.1279855425833828
2017-10-26,2017-11-16,1267.11,1278.47,0.8965283203510532,1241.7677999999999,1305.1233,27.145711003244173,36.702200000000175,9.556488996756002,35.204415885860975,0.08762488426511897
2017-11-24,2017-12-15,1288.22,1255.26,-2.5585691884926542,1262.4556,1326.8666,27.75657686822757,0.0,-27.75657686822757,-100.0,0.09470447116572167
2017-12-25,2018-01-15,1275.24,1340.16,5.090806436435491,1249.7352,1313.4972,27.32186126257939,63.761999999999944,36.440138737420554,133.3735589505015,0.08771328046279109
2018-01-23,2018-02-13,1341.39,1329.55,-0.8826664877477963,1314.5622,1381.6317000000001,28.531316116113672,14.98779999999988,-13.543516116113793,-47.46894977082673,0.07888422167010739
2018-02-21,2018-03-14,1324.26,1325.0,0.05588026520471079,1297.7748,1363.9878,28.88809495499237,27.225200000000086,-1.6628949549922822,-5.756333041632103,0.11109151987871407
2018-03-22,2018-04-13,1328.95,1345.46,1.2423341735956939,1302.371,1368.8185,28.62883266610902,43.08899999999994,14.460167333890922,50.50910563674136,0.09447097986079067
